dataset,threshold,coverage,local_accuracy,system_accuracy,accuracy_delta,cloud_accuracy,cloud_cost,router_cost,savings,savings_pct,avg_input_tokens,avg_output_tokens
supergpqa,0.1,0.3095,0.5331179321486268,0.6103725,-0.03462750000000003,0.645,0.00320371485,0.002236120577245,0.000967594272755,0.3020225950368211,291.3334,192.4201
supergpqa,0.2,0.1845,0.6043360433604336,0.6374975,-0.0075024999999999675,0.645,0.00320371485,0.002626909863495,0.0005768049865049999,0.18004254857606938,291.3334,192.4201
supergpqa,0.3,0.13,0.6576923076923077,0.6466500000000001,0.0016500000000000403,0.645,0.00320371485,0.0027972939922999997,0.0004064208577000002,0.12685924831918177,291.3334,192.4201
supergpqa,0.4,0.097,0.6907216494845361,0.649435,0.004434999999999967,0.645,0.00320371485,0.00290046236387,0.0003032524861299999,0.09465651605354325,291.3334,192.4201
supergpqa,0.5,0.074,0.7027027027027027,0.6492700000000001,0.004270000000000107,0.645,0.00320371485,0.00297236759254,0.00023134725745999974,0.0722121875047649,291.3334,192.4201
supergpqa,0.6,0.049,0.6938775510204082,0.647395,0.002395000000000036,0.645,0.00320371485,0.0030505254497899996,0.0001531894002100003,0.047816178212614746,291.3334,192.4201
supergpqa,0.7,0.0345,0.7246376811594203,0.6477475,0.002747500000000014,0.645,0.00320371485,0.003095857006995,0.00010785784300499984,0.03366649282316741,291.3334,192.4201
supergpqa,0.8,0.0185,0.7837837837837838,0.6475675,0.002567499999999945,0.645,0.00320371485,0.003145878035635,5.7836814364999826e-05,0.01805304687619119,291.3334,192.4201
supergpqa,0.9,0.0065,0.6923076923076923,0.6453075,0.0003075000000000161,0.645,0.00320371485,0.003183393807115,2.0321042885000033e-05,0.006342962415959096,291.3334,192.4201
wildchat,0.1,0.766449020592667,0.6730013106159896,0.7071461577096937,-0.11205384229030635,0.8192,0.009445603125000002,0.0023068378470823716,0.00713876527791763,0.7557765431646408,168.4019,653.6357
wildchat,0.2,0.44098442993470616,0.7517084282460137,0.789437267704671,-0.029762732295328997,0.8192,0.009445603125000002,0.005338240140719741,0.004107362984280261,0.4348439088457107,168.4019,653.6357
wildchat,0.3,0.2923154193872426,0.7800687285223368,0.8077613259668508,-0.011438674033149243,0.8192,0.009445603125000002,0.006722954768677551,0.002722648356322451,0.2882450511938538,168.4019,653.6357
wildchat,0.4,0.21346057257659468,0.8188235294117647,0.8191196383726771,-8.03616273229446e-05,0.8192,0.009445603125000002,0.007457414892290308,0.0019881882327096936,0.21048822466905132,168.4019,653.6357
wildchat,0.5,0.16122551481667505,0.8442367601246106,0.8232365645404319,0.004036564540431886,0.8192,0.009445603125000002,0.00794393624805927,0.0015016668769407323,0.1589805179265069,168.4019,653.6357
wildchat,0.6,0.12807634354595682,0.8784313725490196,0.8267861376192869,0.007586137619286837,0.8192,0.009445603125000002,0.008252690185374185,0.0011929129396258172,0.1262929348014309,168.4019,653.6357
wildchat,0.7,0.08588648920140633,0.8830409356725146,0.8246830738322453,0.005483073832245222,0.8192,0.009445603125000002,0.008645649741956809,0.0007999533830431935,0.08469055627860643,168.4019,653.6357
wildchat,0.8,0.07332998493219488,0.8904109589041096,0.8244218985434455,0.005221898543445458,0.8192,0.009445603125000002,0.00876260199093973,0.0006830011340602724,0.07230889600395657,168.4019,653.6357
wildchat,0.9,0.05976896032144651,0.8991596638655462,0.823979105976896,0.004779105976896014,0.8192,0.009445603125000002,0.008888910419841287,0.0005566927051587154,0.05893670290733449,168.4019,653.6357
natural_reasoning,0.1,0.959,0.8269030239833159,0.8269767,-0.0017232999999999832,0.8287,0.011379895624999999,0.0006110726390090004,0.010768822985990998,0.9463024390428888,147.2759,794.4402
natural_reasoning,0.2,0.7385,0.8740690589031821,0.8622050499999999,0.033505049999999925,0.8287,0.011379895624999999,0.0030871158803134993,0.0082927797446865,0.7287219512337576,147.2759,794.4402
natural_reasoning,0.3,0.4905,0.9143730886850153,0.87072265,0.04202265000000005,0.8287,0.011379895624999999,0.0058719627004655,0.0055079329245344985,0.4840055749223534,147.2759,794.4402
natural_reasoning,0.4,0.2605,0.9366602687140115,0.85682365,0.028123650000000056,0.8287,0.011379895624999999,0.0084546835417355,0.0029252120832644994,0.2570508710851643,147.2759,794.4402
natural_reasoning,0.5,0.094,0.9680851063829787,0.8418022,0.013102199999999953,0.8287,0.011379895624999999,0.010324348846393999,0.001055546778606,0.09275540069867734,147.2759,794.4402
natural_reasoning,0.6,0.012,1.0,0.8307556,0.0020556000000000463,0.8287,0.011379895624999999,0.011245144972412,0.00013475065258799872,0.011841114982809759,147.2759,794.4402
natural_reasoning,0.7,0.0005,1.0,0.8287856499999999,8.564999999993717e-05,0.8287,0.011379895624999999,0.011374281014475499,5.614610524500019e-06,0.000493379790950413,147.2759,794.4402
natural_reasoning,0.8,0.0,None,0.8287,0.0,0.8287,0.011379895624999999,0.011379895624999999,0.0,0.0,147.2759,794.4402
natural_reasoning,0.9,0.0,None,0.8287,0.0,0.8287,0.011379895624999999,0.011379895624999999,0.0,0.0,147.2759,794.4402
mmlu_pro,0.1,0.7165,0.7752965806001396,0.8022584,-0.06814159999999991,0.8704,0.0028411902749999997,0.0008548721734104998,0.0019863181015894998,0.6991147756161807,260.4869,170.3813
mmlu_pro,0.2,0.6,0.81,0.83416,-0.03623999999999994,0.8704,0.0028411902749999997,0.0011778394572,0.0016633508177999997,0.585441542735113,260.4869,170.3813
mmlu_pro,0.3,0.52,0.8221153846153846,0.8452919999999999,-0.02510800000000002,0.8704,0.0028411902749999997,0.0013996195662399997,0.00144157070876,0.5073826703704313,260.4869,170.3813
mmlu_pro,0.4,0.4505,0.8412874583795783,0.8572848,-0.013115199999999994,0.8704,0.0028411902749999997,0.0015922910359684997,0.0012488992390315,0.43956902500361406,260.4869,170.3813
mmlu_pro,0.5,0.383,0.8642297650130548,0.8680368,-0.0023631999999998987,0.8704,0.0028411902749999997,0.0017794180029709998,0.001061772272029,0.3737068514459138,260.4869,170.3813
mmlu_pro,0.6,0.319,0.8871473354231975,0.8757424,0.00534240000000008,0.8704,0.0028411902749999997,0.001956842090203,0.0008843481847969998,0.3112597535541684,260.4869,170.3813
mmlu_pro,0.7,0.2585,0.9090909090909091,0.8804016,0.010001600000000055,0.8704,0.0028411902749999997,0.0021245632976644997,0.0007166269773355,0.2522277313283779,260.4869,170.3813
mmlu_pro,0.8,0.1875,0.9173333333333333,0.8792,0.00880000000000003,0.8704,0.0028411902749999997,0.0023213931444375,0.0005197971305624998,0.18295048210472278,260.4869,170.3813
mmlu_pro,0.9,0.1185,0.9746835443037974,0.8827575999999999,0.012357599999999969,0.8704,0.0028411902749999997,0.0025126784884844998,0.00032851178651549994,0.1156247046901848,260.4869,170.3813
